Writing	Readings	Meanings
間	けん	[advn.; n.] space (between); gap; interval; distance // [advn.; tempn.] time (between); pause; break // [advn.; n.; tempn.] span (temporal or spatial); stretch; period (while) // [advn.; n.] relationship (between, among) // [n.] members (within, among) // [conj.; arch.] due to; because of // [n.] space; room; time; pause // [n.; suffix] interval; period of time // [n.] among; between; inter- // [n.] 1.818 m (6 shaku) // [cnt.] counter used to number the gaps between pillars
間に	あいだに	[adv.] while; during (the time when)
１	いち	[num.; pref.] one // [no-n.; suffix] best // [no-n.] first; foremost // [n.] beginning; start // [n.] bottom string (on a shamisen, etc.)
８	はち,や	[num.] eight
うち		[n.; no-n.; us. kana] house; home (one's own) // [pron.; no-n.; us. kana] (one's) family; (one's) household // [n.; no-n.] inside; within // [us. kana] while // [us. kana] among; amongst; between // [pron.; no-n.; us. kana] we (referring to one's in-group, i.e. company, etc.); our // [n.] my spouse // [n.; arch.] imperial palace grounds // [arch.] emperor // [pron.; no-n.] I (primarily used by women and children); me
けが	けが,ケガ	[n.; suru; us. kana] injury (to animate object); hurt
けがをした		[phrase; n./prenv.; us. kana] hurt; injured
９	きゅう,く,ここの,この,ここ	[num.] nine
骨	ほね	[n.; us. kana] knack; skill; trick; secret; know-how; the ropes; hang // [n.] bone // [n.] frame // [n.] outline; core // [n.] backbone; spirit; fortitude // [adjn..; n.] laborious; troublesome; difficult
折れる	おれる	[v1.; vi.] to break; to be broken; to snap; to fracture // [n.] to be folded // [n.] to give in; to back down; to yield; to submit // [n.] to turn (a corner)
して		[n.] doer; performer // [us. kana] protagonist (in noh or kyogen); hero; leading part; main character // [n.] speculator (in trading) // [part.] by (indicating means of action); as (a group, etc.) // [n.] indicates patient of a causative expression // [n.] acts as a connective // [n.] adds emphasis // [conj.] and then
入院	にゅういん	[n.; suru] hospitalization; hospitalisation
など		[part.; us. kana] et cetera; etc.; and the like; and so forth // [us. kana] or something // [us. kana] the likes of
ぐらい	くらい,ぐらい	[suffix; part.] approximately; about; around; or so // [n.] to (about) the extent that; (almost) enough that; so ... that ...; at least // [n.] as ... as ...; like
固い	かたい	[adj.] hard; solid; tough // [n.] stiff; tight; wooden; unpolished (e.g. writing) // [n.] strong; firm (not viscous or easily moved) // [n.] safe; steady; honest; steadfast // [n.] obstinate; stubborn // [n.] bookish; formal; stuffy
ため	ため,タメ	[n.; us. kana] good; advantage; benefit; welfare // [us. kana] sake; purpose; objective; aim // [us. kana] consequence; result; effect // [us. kana] affecting; regarding; concerning // [n.; coll.] the same (age, social status); peer
大きな	おおきな	[pren.] big; large; great
危険	きけん	[n.; adjn..] danger; peril; hazard // [n.] risk
せる	せる,させる	[auxv.; v1.] auxiliary verb indicating the causative // [kenjougo] auxiliary verb indicating that one has been granted the permission to do something // [sonkeigo] auxiliary verb used as an honorific for others' actions
よう		[sufn.; n.; us. kana] appearing ...; looking ... // [n.] way to ...; method of ...ing // [n.] form; style; design // [n.] like; similar to // [n.] thing (thought or spoken) // [adv.; us. kana] well; properly; skillfully // [n.] often // [n.; us. kana] carbuncle // [auxv.] indicates speculation // [n.] indicates will // [n.] indicates invitation
ように		[phrase; us. kana] in order to (e.g. meet goal); so that; take care (so as) // [us. kana] hoping or wishing for something
つける		[v1.; vt.; us. kana] to turn on; to switch on; to light up
くださる		[v5aru.; sonkeigo; us. kana] to give; to confer; to bestow // [sonkeigo; us. kana] to kindly do for one; to oblige; to favour; to favor
前に	まえに	[adv.] ahead; before; ago
プレゼント		[n.] present; gift // [suru] to give a present or gift
クリスマス		[n.] Christmas
一緒	いっしょ	[advn.; n.; no-n.] together // [n.] at the same time // [n.] same; identical
できる		[v1.; vi.; us. kana] to be able (in a position) to do; to be up to the task // [us. kana] to be ready; to be completed // [us. kana] to be made; to be built // [us. kana] to be good at; to be permitted (to do) // [us. kana] to become intimate; to take up (with somebody) // [us. kana] to grow; to be raised // [us. kana] to become pregnant
たち		[suffix; us. kana] pluralizing suffix (esp. for people & animals; formerly honorific)
子どもたち	こどもたち	[n.] children
届く	とどく	[v5ku.; vi.] to reach; to arrive; to get through; to get at // [n.] to be attentive; to pay attention // [n.] to be delivered; to carry (e.g. sound)
漫画	まんが,マンガ	[n.] cartoon; comic; comic strip
マスク		[n.; suru] mask
主人公	しゅじんこう	[n.] protagonist; main character; hero(ine) (of a story) // [n.] head of household
わかる		[v5ru.; vi.; us. kana] to understand; to comprehend; to grasp; to see; to get; to follow // [us. kana] to become clear; to be known; to be discovered; to be realized; to be realised; to be found out
ません		[phrase; teineigo] suffix used to negate a verb in the non-past tense
ませんでした		[phrase; teineigo] suffix used to negate a verb in the past tense
７	しち,なな,な	[num.] seven // [pref.] hepta-
日	か	[advn.; tempn.] day; days // [n.] sun; sunshine; sunlight // [n.] case (esp. unfortunate); event // [n.; abbr.] Sunday // [suffix] day (of the month) // [suffix; cnt.] counter for days // [n.; sufn.; prefn.; abbr.] Japan // [sufn.] day of month // [cnt.] counter for days
７日	なのか,なぬか	[advn.] the seventh day of the month // [n.] seven days
県	あがた	[n.] prefecture (of Japan) // [n.] county (of China) // [n.] territory (pre-Taika: under the Yamato court; Heian: under a provincial governor, etc.) // [arch.] countryside
群馬県	ぐんまけん	[n.] Gunma prefecture (Kanto area)
住む	すむ	[v5mu.; vi.] to live (of humans); to reside; to inhabit; to dwell; to abide
４	し,よん,よ	[num.] four
正	まさ	[n.; no-n.] (logical) true; regular // [num.] 10^40; ten thousand undecillion // [n.; no-n.; abbr.] original // [n.] positive; greater than zero // [n.; prefn.] greater (of equal court ranks); upper; senior // [n.] director (highest of the four administrative positions of the ritsuryo period); chief // [pref.] exactly; precisely // [n.; adjn..; arch.] exact; precise
剛	ごう	[n.; n./prenv.] strong; hard; manly
さん		[suffix; sonkeigo; fam.] Mr.; Mrs.; Miss; Ms.; -san // [teineigo] makes words more polite (usu. in fixed expressions)
会場	かいじょう	[n.] assembly hall; meeting place; venue; grounds
とき	とき,しゅろ,つき,トキ	[n.] regular (stops at every station) Jouetsu-line Shinkansen // [n.; us. kana] Japanese crested ibis (Nipponia nippon); crested ibis
応援	おうえん	[n.; suru] aid; assistance; help; reinforcement; rooting; barracking; support; cheering
たい		[n.; us. kana] sea bream (Sparidae); porgy // [n.] tai (species of reddish-brown Pacific sea bream, Pagrus major) // [n.; us. kana] Thailand // [auxadj.] want to ... do something; would like to ... // [part.] indicates emphasis // [suffix; adj.] very ...
したい		[adj.] want to do
思う	おもう	[v5u.; vt.] to think; to consider; to believe // [n.] to think (of doing); to plan (to do) // [n.] to judge; to assess; to regard // [n.] to imagine; to suppose; to dream // [n.] to expect; to look forward to // [n.] to feel; to desire; to want // [n.] to recall; to remember
選手	せんしゅ	[n.] player (in game); team member
なる		[v5ru.; vi.; us. kana] to become; to get; to grow; to be; to reach; to attain // [n.] to result in; to prove to be // [n.] to consist of; to be composed of // [n.] to succeed; to be complete // [n.] to change into; to be exchanged for // [n.] to play a role // [n.] to be promoted // [v5ru.; sonkeigo] to do ... // [v5ru.; vi.; us. kana] to bear fruit // [suffix; n./prenv.; arch.] that is in // [n.] who is called; that is called // [n.] that is
になる		[phrase; v5ru.; us. kana] becomes; will become; turns out // [sonkeigo; us. kana] to do
親	しん	[n.] parent; parents // [n.] dealer (in cards, mahjong, etc.) // [n.] founder // [n.] (pet) owner // [n.] intimacy; closeness; friendliness // [n.] close relative // [prefn.] pro- (e.g. pro-American, pro-Japanese, etc.)
をして		[phrase] indicates patient of a causative expression
ニュース	ニュース,ニューズ	[n.] news
増える	ふえる	[v1.; vi.] to increase; to multiply
これから		[tempn.; us. kana] after this
続ける	つづける	[v1.; vt.; auxv.] to continue; to keep up; to keep on
と言う	という,とゆう	[phrase; us. kana] called; named // [us. kana] as many as; as much as // [us. kana] all X; every X
と言って	といって	[phrase] however; because; as
置く	おく	[v5ku.; vt.] to put; to place // [n.] to leave (behind) // [n.] to establish (an organization, a facility, a position, etc.); to set up // [n.] to appoint (someone to a certain position); to hire; to employ // [n.] to place (one's trust, one's faith, etc); to bear (in mind etc) // [n.] to put down a tool (e.g. a pen) hence stopping what one is doing with that tool // [n.] to take in (boarders, etc.); to provide lodging in one's house // [n.] to separate spatially or temporally // [v5ku.; auxv.; us. kana] to do something in advance // [us. kana] to leave something in a certain state; to keep something in a certain state
楽しむ	たのしむ	[v5mu.] to enjoy (oneself)
流れる	ながれる	[v1.; vi.] to stream; to flow (liquid, time, etc.); to run (ink) // [n.] to be washed away; to be carried // [n.] to drift; to float (e.g. clouds); to wander; to stray // [n.] to sweep (e.g. rumour, fire); to spread; to circulate // [n.] to be heard (e.g. music); to be played // [n.] to lapse (e.g. into indolence, despair) // [n.] to pass; to elapse; to be transmitted // [n.] to be called off; to be forfeited // [n.] to disappear; to be removed
横	よこ	[n.] horizontal (as opposed to vertical); lying down // [n.] side-to-side (as opposed to front-to-back); width; breadth // [n.] side (of a box, etc.) // [n.] beside; aside; next to // [n.] unconnected
きれい	きれい,キレイ	[adjn..; us. kana] pretty; lovely; beautiful; fair // [us. kana] clean; clear; pure; tidy; neat // [us. kana] completely; entirely
ことができる		[phrase; v1.; us. kana] can (do); to be able to (do); can be done; is able to be done
観光	かんこう	[n.; suru; no-n.] sightseeing
客	まれびと,マレビト	[n.] guest; visitor // [n.] customer; client; shopper; spectator; audience; tourist; sightseer; passenger // [n.] visitor from afar; guest // [n.] visitor from afar // [n.] joy-bringing spirit from the divine realms
人気	じんき	[n.; no-n.; adjn..] popularity; popular feeling; business conditions // [n.] sign of life; human presence // [n.] humanity; humaneness // [n.] prevailing mood of a locality; emotional climate of a district
になると		[phrase] when it becomes; when it comes to
置いて	おいて	[conj.; us. kana] at; in; on
８日	ようか	[n.] the eighth day of the month // [n.] eight days
お祝い	おいわい	[n.; suru; sonkeigo] congratulation; congratulations; celebration; festival; congratulatory gift
式	しき	[n.; sufn.] equation; formula; expression // [n.] ceremony // [n.] style // [arch.] enforcement regulations (of the ritsuryo)
周り	まわり	[n.] circumference; girth // [n.] surroundings; neighbourhood; neighborhood; vicinity
集まる	あつまる	[v5ru.; vi.] to gather; to collect; to assemble
ながら		[part.; us. kana] while; during; as // [us. kana] while; although; though; despite; in spite of; notwithstanding // [us. kana] all; both // [us. kana] as (e.g. "as always", "as long ago"); in (e.g. "in tears")
男性	だんせい	[n.; no-n.] man; male // [n.] masculine gender
ので	ので,んで	[part.] that being the case; because of ...; the reason is ....; given that...
とても	とても,とっても	[adv.; us. kana] very; awfully; exceedingly // [us. kana] (not) at all; by no means; simply (cannot)
季節	きせつ	[n.; no-n.] season
だけ		[part.; us. kana] only; just; merely; simply; no more than; nothing but; alone // [us. kana] as (e.g. as soon as, as much as) // [us. kana] worth
だと		[phrase] if it's the case
女性	じょせい,にょしょう	[n.; no-n.] woman; female // [n.] feminine gender
昔	むかし	[no-n.; advn.; tempn.] olden days; former
小学校	しょうがっこう	[n.] primary school; elementary school; grade school
思い出す	おもいだす	[v5su.; vt.] to recall; to remember; to recollect
１２月	じゅうにがつ	[advn.] December
２	アル	[num.] two // [num.] two
２９日	にじゅうくにち,にじゅうきゅうにち	[n.] twenty-ninth day of the month // [n.] twenty-nine days
９日	ここのか,ここぬか	[n.] the ninth day of the month // [n.] nine days
地震	じしん,ない,なえ,じぶるい	[n.] earthquake
以上	いじょう	[advn.; tempn.] not less than; ... and more; ... and upwards // [n.] beyond ... (e.g. one's means); further (e.g. nothing further to say); more than ... (e.g. cannot pay more than that) // [n.] above-mentioned; foregoing // [n.] since ...; seeing that ... // [n.] this is all; that is the end; the end
亡くなる	なくなる	[v5ru.; vi.] to die
壊れる	こわれる	[v1.; vi.] to be broken; to break // [n.] to fall through; to come to nothing
大勢	たいせい	[n.; no-n.] many; crowd; great number of people // [n.] general trend; current thought
政府	せいふ	[n.] government; administration
までに		[adv.; us. kana] by; not later than; before
２人	ふたり,ににん	[n.] two persons; two people; pair; couple
工事	こうじ	[n.; suru] construction work; construction; work (related to construction, e.g. painting, concrete-pouring, etc.)
用	よう	[n.; sufn.] task; business // [n.] use; duty; service // [n.] call of nature; excretion
機械	きかい	[n.] machine; mechanism // [n.] instrument; appliance; apparatus
残る	のこる	[v5ru.; vi.] to remain; to be left
しかし		[conj.; us. kana] however; but
足りる	たりる	[v1.; vi.] to be sufficient; to be enough // [n.] to be worth doing; to be worthy // [n.] to be sufficient; to answer; to do
場所	ばしょ	[n.] place; location; spot; position // [n.] room; space // [n.] basho; wrestling tournament
かかる		[v5ru.; vi.; us. kana] to take (a resource, e.g. time or money) // [v5ru.; us. kana] to hang // [us. kana] to come into view; to arrive // [us. kana] to come under (a contract, a tax) // [us. kana] to start (engines, motors) // [us. kana] to attend; to deal with; to handle // [v5ru.; auxv.; us. kana] to have started to; to be on the verge of // [v5ru.; us. kana] to overlap (e.g. information in a manual); to cover // [v5ru.; auxv.; us. kana] to (come) at // [v5ru.; us. kana] to be fastened // [us. kana] to be covered (e.g. with dust, a table-cloth, etc.) // [us. kana] to be caught in // [us. kana] to get a call // [us. kana] to depend on // [v5ru.; us. kana] to suffer from // [pren.; us. kana] such; like this
時間がかかる	じかんがかかる	[phrase; v5ru.] to take time
では		[conj.; interj.] then; well; so; well then
薬	やく	[n.] medicine; pharmaceuticals; (legal) drugs // [n.] efficacious chemical (i.e. gunpowder, pesticide, etc.) // [n.] (pottery) glaze // [n.] small bribe // [n.; slang] dope; narcotics; drugs // [sufn.] medication; drug; treatment; anti-
軍	いくさ	[n.; sufn.] army; force; troops // [n.] war; battle; campaign; fight // [arch.] troops; forces
大事	だいじ,おおごと	[adjn..; n.] important; valuable; serious matter // [n.] safe (Tochigi dialect); OK
両方	りょうほう	[n.; no-n.] both; both sides; both parties
技術	ぎじゅつ	[n.] technology; engineering // [n.] technique; skill // [n.] art; craft
経験	けいけん	[n.; suru] experience
技術者	ぎじゅつしゃ	[n.] engineer; technical expert; technician; craftsperson
必要	ひつよう	[adjn..] necessary; needed; essential; indispensable // [n.] necessity; need; requirement
絶対	ぜったい	[adv.] absolutely; unconditionally // [no-n.] absolute; unconditional; unmistakable // [n.] absoluteness
社長	しゃちょう	[n.] company president; manager; director
無理	むり	[adjn..; n.] unreasonable; unnatural; unjustifiable // [n.] impossible // [adjn..; n.; suru] forcible; forced; compulsory // [adjn..] excessive (work, etc.); immoderate // [suru] to work too hard; to try too hard // [no-n.] irrational
朝ご飯	あさごはん	[n.] breakfast
埋め合わせ	うめあわせ	[n.] compensation
全然	ぜんぜん	[adv.] not at all (with neg. verb) // [n.] wholly; entirely; completely
実践	じっせん	[n.; suru; no-n.] practice; practising; putting into practice; implementation
文法	ぶんぽう	[n.; no-n.] grammar; syntax
終わる	おわる	[v5ru.; vi.; auxv.] to finish; to end; to close
君	きんじ	[pron.; no-n.; male; fam.] you; buddy; pal // [n.] monarch; ruler; sovereign; (one's) master // [n.; suffix] Mr (junior); master; boy // [suffix; sonkeigo] suffix appended to somebody else's family members // [n.; arch.; coll.] you
試す	ためす	[v5su.; vt.] to attempt; to test; to try out
鋭い	するどい	[adj.] sharp (blade); pointed // [n.] sharp (pain); stabbing; cutting (remark); stinging; pointed (question or look); screeching (noise) // [n.] perceptive; keen; quick (mind); astute; shrewd; discerning // [n.] nimble; agile; quick
一生懸命	いっしょうけんめい	[adjn..; advn.; n.; yojijukugo] very hard; with utmost effort; with all one's might; for dear life
演奏	えんそう	[n.; suru] musical performance
卒業	そつぎょう	[n.; suru; no-n.] graduation; completion (e.g. of a course) // [coll.] outgrowing something; moving on
落とす	おとす	[v5su.; vt.] to drop; to lose; to let fall; to shed (light); to cast (one's gaze); to pour in (liquid); to leave behind // [n.] to clean off (dirt, makeup, paint, etc.); to remove (e.g. stains or facial hair); to lose; to spend money at a certain place; to omit; to leave out; to secretly let escape // [n.] to lose (a match); to reject (an applicant); to fail (a course); to defeat (in an election) // [n.] to lower (e.g. shoulders or voice); to lessen (e.g. production or body weight); to worsen (quality); to reduce (e.g. rank or popularity); to speak badly of; to make light of; to fall into straitened circumstances // [n.] to fall into (e.g. a dilemma or sin); to make one's own; to have one's bid accepted; to force surrender; to take (e.g. an enemy camp or castle); to forcefully convince; to press for a confession; to deal with // [n.] to download; to copy from a computer to another medium // [n.] to make someone swoon (judo) // [n.] to finish a story (e.g. with the punch line) // [n.] to finish (a period, e.g. of fasting)
調子	ちょうし	[n.] tune; tone; key; pitch; time; rhythm // [n.] vein; mood; way; manner; style; knack // [n.] condition; state of health // [n.] impetus; spur of the moment; strain // [n.] trend
可笑しい	おかしい	[adj.; us. kana] funny; amusing; comical; laughable; ridiculous // [us. kana] strange; odd; funny; peculiar; weird; unusual; eccentric // [us. kana] improper; unsuitable; unbecoming // [us. kana] suspicious
捕まえる	つかまえる	[v1.; vt.] to catch; to arrest; to seize
掴む	つかむ	[v5mu.; vt.; us. kana] to seize; to catch; to grasp; to grip; to grab; to hold; to catch hold of; to lay one's hands on; to clutch // [us. kana] to understand; to grasp; to comprehend
運転	うんてん	[n.; suru; no-n.] operation (of a machine, etc.); operating; running; run // [n.] driving // [n.] working (capital, etc.)
運転免許	うんてんめんきょ	[n.] driver's license; driver's licence
海外旅行	かいがいりょこう	[n.] vacation abroad
地震学	じしんがく	[n.] seismology
興味	きょうみ	[n.] interest (in something); curiosity (about something); zest (for)
無事	ぶじ	[adjn..; n.] safety; peace; quietness
願う	ねがう	[v5u.; vt.] to desire; to wish; to hope // [n.] to beg; to request; to implore; to pray // [auxv.] to have something done for oneself
歌詞	うたことば	[n.] song lyrics; words of a song; libretto // [n.] words mainly used in songs or poetry
簡単	かんたん	[adjn..; n.] simple; easy; uncomplicated // [n.] brief; quick; light
～年代		
場合	ばあい	[advn.; n.] case; situation
可能性	かのうせい	[n.] potentiality; likelihood; possibility; availability
含まれる	ふくまれる	[v1.; vi.] to be included; to be composed of; to be comprised of
添削	てんさく	[n.; suru] correction; looking over; touching up
専門家	せんもんか	[n.] specialist; expert; professional; authority; pundit
韓国料理		
命	みこと	[n.] life; life force // [n.] lifetime; lifespan // [n.] most important thing; foundation; core // [arch.] paired tattoos of the "life" kanji on the upper arms of a man and woman (indicating unwavering love) // [arch.] fate; destiny; karma // [n.] command; decree // [n.] life // [n.] destiny // [sufn.; n.] Lord; Highness // [pron.; arch.; der.] you // [n.; sonkeigo] the spoken words of the emperor or a noble
壊す	こわす	[v5su.; vt.] to break; to destroy; to demolish // [n.] to wreck; to ruin; to spoil; to damage // [n.] to break (a bill, etc.)
心臓	しんぞう	[n.; no-n.] heart // [n.] guts; nerve; cheek; gall; spine // [n.] central part
瞬間	しゅんかん	[advn.; tempn.] moment; second; instant
払う	はらう	[v5u.; vt.] to pay (e.g. money, bill) // [n.] to brush off; to wipe away; to clear away; to dust off; to cut off (e.g. branches) // [n.] to drive away (e.g. one's competitors) // [n.] to sell off (something unneeded); to dispose of // [n.] to pay (e.g. attention); to show (e.g. respect, concern) // [n.] to make (e.g. effort, sacrifice); to expend; to exert // [n.] to move out (of one's own place); to vacate // [n.] to sweep (e.g. one's legs); to knock aside // [n.] to make a sweeping stroke (in Japanese calligraphy) // [n.] to reset (an abacus)
美味しい	おいしい,オイシイ	[adj.; us. kana] delicious; tasty; sweet
趣味	しゅみ	[n.] hobby; pastime // [n.] tastes; preference; liking
身長	しんちょう	[n.] height (of body); stature
合格	ごうかく	[n.; suru] success; passing (e.g. exam); eligibility
不合格	ふごうかく	[n.] (examination) failure; rejection; disqualification
勘弁	かんべん	[n.; suru] pardon; forgiveness; forbearance
動物園	どうぶつえん	[n.] zoo; zoological gardens
笑顔	えがお	[n.; suru] smiling face; smile
言い訳	いいわけ	[n.; suru] excuse // [n.] explanation
恥ずかしい	はずかしい	[adj.] shy; ashamed; embarrassed // [n.] disgraceful; shameful
恥ずかしがり屋	はずかしがりや	[n.] shy person
易しい	やさしい	[adj.; us. kana] easy; plain; simple
優しい	やさしい	[adj.] tender; kind; gentle; graceful; affectionate; amiable
約束	やくそく	[n.; suru] promise; agreement; arrangement; one's word; contract; pact; appointment; engagement; date // [n.] convention; rule // [n.] destiny; fate
守る	まもる	[v5ru.; vt.] to protect; to guard; to defend // [n.] to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow
約束を守る	やくそくをまもる	[phrase; v5ru.] to keep a promise; to keep one's word
式場	しきじょう	[n.] ceremonial hall (e.g. wedding, funeral); hall for ceremonies; place of ceremony
自動車学校	じどうしゃがっこう	[n.] driving school
通う	かよう	[v5u.; vi.] to go to and from (a place); to go back and forth between; to run between (e.g. bus, train, etc.); to ply between // [n.] to go to (school, work, etc.); to attend; to commute; to frequent // [n.] to circulate (e.g. blood, electricity); to be communicated (e.g. thought) // [n.] to resemble
調べる	しらべる	[v1.; vt.] to examine; to investigate; to check up; to sense; to study; to inquire; to search
最近	さいきん	[no-n.; advn.; tempn.] most recent; these days; right now; recently; nowadays
数学	すうがく	[n.] mathematics; arithmetic
数学者	すうがくしゃ	[n.] mathematician
足る	たる	[v5ru.; vi.] to be sufficient; to be enough; to be worthy of
物足りない	ものたりない	[adj.] unsatisfied; unsatisfactory; insufficient
出発	しゅっぱつ	[n.; suru] departure
出発時間	しゅっぱつじかん	[n.] starting (departure) time
到着	とうちゃく	[n.; suru; no-n.] arrival
到着時刻	とうちゃくじこく	[n.] arrival time
賑やか	にぎやか	[adjn..] bustling; busy; lively
二日酔	ふつかよい	[n.; suru] hangover
真っ直ぐ	まっすぐ	[adjn..; n.; us. kana] straight (ahead); direct; upright; erect // [us. kana] straightforward; honest; frank
沢山	だくさん	[no-n.; adjn..; n.; advn.; us. kana] a lot; lots; plenty; many; a large number; much; a great deal; a good deal // [us. kana] enough; sufficient // [sufn.; us. kana] enough; too many; too much // [suffix; us. kana] enough; too many; too much
喋る	しゃべる	[v5ru.; vi.; us. kana] to talk; to chat; to chatter
心	しん	[n.] mind; heart; spirit // [n.] the meaning of a phrase (riddle, etc.) // [n.] heart; mind // [n.; suffix] spirit; vitality; inner strength // [n.] Chinese "Heart" constellation (one of the 28 mansions) // [arch.] friend
幸せ	しあわせ,しやわせ	[adjn..; n.] happiness; good fortune; luck; blessing
戻る	もどる	[v5ru.; vi.] to turn back (e.g. half-way) // [n.] to return; to go back // [n.] to recover (e.g. something lost); to be returned // [n.] to rebound; to spring back
朝飯	あさめし,あさはん	[n.] breakfast
出身	しゅっしん	[n.; no-n.] person's origin (e.g. city, country, parentage, school)
ご飯	ごはん	[n.] cooked rice // [n.] meal
焼き鳥	やきとり	[n.] yakitori; chicken pieces (or sometimes beef or pork offal) grilled on a skewer
焼肉	やきにく	[n.] yakiniku; Japanese dish of grilled meat similar to Korean barbecue // [n.] roasted meat; grill
風邪薬	かぜぐすり,かざぐすり	[n.] remedy for a cold; cold medicine
